P48347	AT1G22300
Q9C7Y2	AT1G32580
Q9C7Y3	AT1G32570
Q9C7Y4	AT1G32550
Q9C7Y9	AT1G47970
Q9C7Z1	AT1G47990
Q9C7Z2	AT1G48010
Q9C7Z5	AT1G48070
Q9C7Z7	AT1G48095
Q9C803	AT1G33490
Q9C813	AT1G33390
Q9C819	AT1G52270
Q9C824	AT1G52320
Q9C825	AT1G52330
Q9C829	AT1G52380
Q9C830	AT1G52390
Q9C835	AT3G66654
Q9C836	AT3G66656
Q9C842	AT1G42710
Q9C843	AT1G42700
Q9C863	AT1G31460
Q9C864	AT1G31450
Q9C865	AT1G31440
Q9C869	AT1G31400
Q9C870	AT1G31390
Q9C871	AT1G31380
Q9C872	AT1G31370
Q9C875	AT1G33330
Q9C876	AT1G33320
Q9C877	AT1G33290
Q9C881	AT1G33250
Q9C890	AT1G55200
Q9C891	AT1G55210
Q9C892	AT1G55220
Q9C893	AT1G55230
Q9C899	AT1G55290
Q9C8A0	AT1G55300
Q9C8A7	AT1G55360
Q9C8B4	AT1G35900
Q9C8B5	AT1G35890
Q9C8B6	AT1G35880
Q9C8B7	AT1G35860
Q9C8B9	AT1G35830
Q9C8C1	AT1G43130
Q9C8C2	AT1G43100
Q9C8C3	AT1G43090
Q9C8C4	AT1G43080
Q9C8C5	AT1G43040
Q9C8C8	AT1G66190
Q9C8C9	AT1G66180
Q9C8D3	AT1G66130
Q9C8D5	AT1G66110
Q9C8D7	AT1G66080
Q9C8D8	AT1G66070
Q9C8D9	AT1G66060
Q9C8E2	AT1G66030
Q9C8E6	AT1G42550
Q9C8F3	AT1G36640
Q9C8F8	AT1G36230
Q9C8G3	AT1G30320
Q9C8G5	AT1G30360
Q9C8G6	AT1G30370
Q9C8H3	AT1G51570
Q9C8H6	AT1G51640
Q9C8I1	AT1G51730
Q9C8I6	AT1G51800
Q9C8J7	AT1G51450
Q9C8K4	AT1G51520
Q9C8K5	AT1G51530
Q9C8K8	AT1G51560
Q9C8L0	AT1G53480
Q9C8L2	AT1G53520
Q9C8L7	AT1G53610
Q9C8L8	AT1G53620
Q9C8L9	AT1G53645
Q9C8M0	AT1G53650
Q9C8M4	AT1G53690
Q9C8M5	AT1G53700
Q9C8N0	AT1G53760
Q9C8N8	AT1G34400
Q9C8P0	AT1G34430
Q9C8P1	AT1G34440
Q9C8P4	AT1G35410
Q9C8P5	AT1G35420
Q9C8Q1	AT1G35500
Q9C8Q4	AT1G41820
Q9C8R4	AT1G30070
Q9C8R5	AT1G30060
Q9C8R6	AT1G30050
Q9C8R7	AT1G30020
Q9C8R8	AT1G30010
Q9C8S1	AT1G29980
Q9C8T2	AT1G63280
Q9C8T3	AT1G63290
Q9C8T4	AT1G63300
Q9C8T5	AT1G63310
Q9C8U2	AT1G33830
Q9C8U4	AT1G33870
Q9C8U5	AT1G33880
Q9C8U6	AT1G33890
Q9C8U7	AT1G33900
Q9C8U8	AT1G33910
Q9C8V0	AT1G33930
Q9C8V1	AT1G33940
Q9C8V2	AT1G33950
Q9C8V9	AT1G36020
Q9C8W0	AT1G36030
Q9C8W1	AT1G36050
Q9C8W5	AT1G71970
Q9C8W7	AT1G71950
Q9C8W8	AT1G71940
Q9C8W9	AT1G71930
Q9C8X0	AT1G71910
Q9C8X4	AT1G36390
Q9C8X8	AT1G36320
Q9C8Y2	AT1G66360
Q9C8Y4	AT1G66330
Q9C8Z3	AT3G06520
Q9C900	AT3G06600
Q9C901	AT3G06610
Q9C902	AT3G06620
Q9C907	AT1G74210
Q9C908	AT1G74220
Q9C909	AT1G74230
Q9C911	AT1G74250
Q9C913	AT1G74280
Q9C914	AT1G74290
Q9C915	AT1G74300
Q9C920	AT1G53000
Q9C923	AT1G52980
Q9C924	AT1G52970
Q9C926	AT1G52950
Q9C928	AT1G52930
Q9C930	AT1G52910
Q9C931	AT1G52900
Q9C933	AT1G52870
Q9C936	AT1G52820
Q9C937	AT1G52810
Q9C938	AT1G52800
Q9C939	AT1G52790
Q9C941	AT1G52770
Q9C942	AT1G52760
Q9C946	AT1G61080
Q9C949	AT1G61050
Q9C950	AT1G61040
Q9C951	AT1G61030
Q9C955	AT1G60980
Q9C960	AT1G60920
Q9C963	AT1G60880
Q9C965	AT1G80400
Q9C969	AT1G80360
Q9C972	AT1G80320
Q9C973	AT1G80310
Q9C975	AT1G80290
Q9C976	AT1G80280
Q9C989	AT1G71190
Q9C991	AT1G71170
Q9C993	AT1G71150
Q9C994	AT1G71140
Q9C998	AT1G71100
Q9C999	AT1G71090
Q9C9A0	AT1G71080
Q9C9A1	AT1G71070
Q9C9A3	AT1G71050
Q9C9A5	AT1G71030
Q9C9B1	AT1G73890
Q9C9B4	AT1G73930
Q9C9B5	AT1G73940
Q9C9B9	AT1G73980
Q9C9C0	AT1G73990
Q9C9C2	AT1G74010
Q9C9C8	AT1G74080
Q9C9D1	AT1G74110
Q9C9D4	AT1G72350
Q9C9E1	AT1G72430
Q9C9E4	AT1G72460
Q9C9E5	AT1G72470
Q9C9E6	AT1G72480
Q9C9E9	AT1G72510
Q9C9F7	AT1G68220
Q9C9G0	AT1G68250
Q9C9G4	AT1G68290
Q9C9G5	AT1G68300
Q9C9G7	AT1G68320
Q9C9G9	AT1G68340
Q9C9H0	AT1G68350
Q9C9H1	AT1G68360
Q9C9H6	AT1G71390
Q9C9H8	AT1G71410
Q9C9I0	AT1G71430
Q9C9I4	AT1G71470
Q9C9I5	AT1G71480
Q9C9I7	AT1G71500
Q9C9I9	AT1G71530
Q9C9J1	AT1G71690
Q9C9J7	AT1G76610
Q9C9J8	AT1G76600
Q9C9K1	AT1G76570
Q9C9K2	AT1G76560
Q9C9K3	AT1G76550
Q9C9K4	AT1G76530
Q9C9K5	AT1G76520
Q9C9K7	AT1G76500
Q9C9L6	AT1G66590
Q9C9L6	AT1G69750
Q9C9L7	AT1G69760
Q9C9M1	AT1G66680
Q9C9M2	AT1G66690
Q9C9M3	AT1G66700
Q9C9M4	AT1G66720
Q9C9M8	AT1G66760
Q9C9N1	AT1G66790
Q9C9N4	AT1G66820
Q9C9N7	AT1G66850
Q9C9N8	AT1G66860
Q9C9N9	AT1G66870
Q9C9P3	AT1G74910
Q9C9P9	AT1G75030
Q9C9Q1	AT1G75060
Q9C9Q4	AT1G75100
Q9C9Q5	AT1G75110
Q9C9Q6	AT1G75120
Q9C9R4	AT1G78180
Q9C9R9	AT1G78130
Q9C9S0	AT1G78120
Q9C9S1	AT1G78110
Q9C9S4	AT1G78090
Q9C9T0	AT1G73820
Q9C9T1	AT1G73810
Q9C9T2	AT1G73805
Q9C9T4	AT1G73780
Q9C9T5	AT1G73770
Q9C9T6	AT1G73760
Q9C9T8	AT1G73740
Q9C9U1	AT1G73700
Q9C9U3	AT1G73680
Q9C9U5	AT1G73660
Q9C9U9	AT1G73620
Q9C9V2	AT1G67860
Q9C9V4	AT1G67880
Q9C9V5	AT1G67890
Q9C9V7	AT1G67910
Q9C9V8	AT1G67920
Q9C9V9	AT1G67930
Q9C9W5	AT1G68010
Q9C9W7	AT1G68030
Q9C9W8	AT1G68040
Q9C9X1	AT1G68070
Q9C9X7	AT1G68130
Q9C9X8	AT1G68140
Q9C9Y1	AT3G08790
Q9C9Y3	AT3G08760
Q9C9Y9	AT3G08670
Q9C9Z2	AT3G08640
Q9C9Z3	AT3G08630
Q9C9Z6	AT3G08600
Q9C9Z9	AT3G08550
Q9CA11	AT3G49310
Q9CA15	AT1G77790
Q9CA16	AT1G77780
Q9CA17	AT1G77770
Q9CA21	AT1G77730
Q9CA24	AT1G77700
Q9CA28	AT1G68540
Q9CA32	AT1G68490
Q9CA34	AT1G68470
Q9CA36	AT1G68450
Q9CA41	AT1G68780
Q9CA42	AT1G68790
Q9CA45	AT1G68870
Q9CA46	AT1G68880
Q9CA51	AT1G74660
Q9CA52	AT1G74650
Q9CA55	AT1G74620
Q9CA59	AT1G74560
Q9CA60	AT1G74550
Q9CA61	AT1G74540
Q9CA69	AT1G74450
Q9CA70	AT1G74440
Q9CA74	AT1G74390
Q9CA76	AT1G74370
Q9CA78	AT1G74350
Q9CA79	AT1G74340
Q9CA83	AT1G79750
Q9CA84	AT1G79760
Q9CA85	AT1G79770
Q9CA89	AT1G79860
Q9CA90	AT1G79870
Q9CA92	AT1G79890
Q9CA93	AT1G79900
Q9CA98	AT1G79970
Q9CAA6	AT1G68960
Q9CAB4	AT1G70620
Q9CAC4	AT1G70750
Q9CAC5	AT1G70760
Q9CAC8	AT1G63610
Q9CAD1	AT1G63660
Q9CAD2	AT1G63670
Q9CAD5	AT1G63700
Q9CAD6	AT1G63710
Q9CAD8	AT1G63730
Q9CAE0	AT1G63750
Q9CAE4	AT3G10400
Q9CAE6	AT3G10420
Q9CAE8	AT3G10460
Q9CAF4	AT3G10650
Q9CAF9	AT1G67620
Q9CAG1	AT1G67580
Q9CAG4	AT1G67540
Q9CAH0	AT1G72530
Q9CAH4	AT1G72580
Q9CAH6	AT1G72600
Q9CAI2	AT1G72670
Q9CAI4	AT1G72690
Q9CAI5	AT1G72710
Q9CAI6	AT1G72720
Q9CAI9	AT1G72760
Q9CAJ1	AT1G72790
Q9CAJ2	AT1G72800
Q9CAJ7	AT1G63830
Q9CAJ8	AT1G63840
Q9CAK0	AT1G63870
Q9CAK1	AT1G63880
Q9CAK4	AT1G63930
Q9CAK6	AT1G63950
Q9CAK7	AT1G63960
Q9CAL1	AT1G70540
Q9CAL5	AT1G70500
Q9CAL6	AT1G70480
Q9CAL7	AT1G70470
Q9CAL9	AT1G70450
Q9CAM1	AT1G63210
Q9CAM2	AT1G63205
Q9CAM3	AT1G63200
Q9CAM7	AT1G63160
Q9CAM9	AT1G63140
Q9CAN1	AT1G63120
Q9CAN7	AT1G63060
Q9CAN8	AT1G63050
Q9CAP1	AT1G77670
Q9CAP2	AT1G77660
Q9CAP6	AT1G77620
Q9CAQ3	AT1G77530
Q9CAQ4	AT1G77520
Q9CAQ5	AT1G77500
Q9CAQ8	AT1G77470
Q9CAR0	AT1G77450
Q9CAR5	AT1G69820
Q9CAS2	AT1G69890
Q9CAS9	AT1G73120
Q9CAT1	AT1G73160
Q9CAT3	AT1G73180
Q9CAT4	AT1G73200
Q9CAT5	AT1G73210
Q9CAT7	AT1G73230
Q9CAU9	AT3G04830
Q9CAV2	AT3G04860
Q9CAV5	AT3G04900
Q9CAV7	AT3G04930
Q9CAW2	AT3G04980
Q9CAW3	AT3G04990
Q9CAW4	AT3G05000
Q9CAW9	AT3G11590
Q9CAX1	AT3G11570
Q9CAX7	AT3G11500
Q9CAX8	AT3G11490
Q9CAY4	AT3G11420
Q9CAY5	AT3G11390
Q9CAY6	AT3G11380
Q9CAY7	AT3G11370
Q9CAY8	AT3G11350
Q9CAZ7	AT3G51430
Q9CB03	AT1G27460
Q9FDW8	AT1G26340
Q9FDX6	AT5G49480
Q9FDX9	AT3G63420
Q9FDY0	AT3G11890
Q9FDZ2	AT1G25025
Q9FDZ2	AT1G25112
Q9FDZ2	AT1G25180
Q9FDZ5	AT1G34020
Q9FDZ8	AT1G73440
Q9FE06	AT5G64260
Q9FE17	AT5G55760
Q9FE18	AT1G26550
Q9FE37	AT1G24909
Q9FE37	AT1G25083
Q9FE37	AT1G25155
Q9FE52	AT5G22840
Q9FE54	AT1G16850
Q9FE62	AT5G08290
Q9FE78	AT5G05470
Q9FEA0	AT1G45976
Q9FEB5	AT3G52180
Q9FEC1	AT1G34000
Q9FEE2	AT5G18580
Q9FEF7	AT1G24822
Q9FEF7	AT1G25097
Q9FEF9	AT2G20820
Q9FEG2	AT4G21790
Q9FEN9	AT4G39100
Q9FF08	AT5G07940
Q9FF09	AT5G07840
Q9FF13	AT5G07790
Q9FF19	AT5G38440
Q9FF22	AT5G38400
Q9FF26	AT5G38370
Q9FF28	AT5G38350
Q9FF29	AT5G38280
Q9FF31	AT5G38260
Q9FF34	AT5G38220
Q9FF39	AT5G38170
Q9FF40	AT5G38160
Q9FF49	AT5G60710
Q9FF51	AT5G60680
Q9FF54	AT5G60650
Q9FF56	AT5G60630
Q9FF62	AT5G05120
Q9FF65	AT5G05090
Q9FF68	AT5G05060
Q9FF69	AT5G05050
Q9FF70	AT5G05040
Q9FF71	AT5G05030
Q9FF72	AT5G05020
Q9FF75	AT5G04990
Q9FF84	AT5G04895
Q9FF87	AT5G23930
Q9FF88	AT5G23920
Q9FF91	AT5G23890
Q9FF93	AT5G23870
Q9FF95	AT5G23850
Q9FF96	AT5G23840
Q9FF97	AT5G23830
Q9FF98	AT5G23820
Q9FFA0	AT5G23800
Q9FFA1	AT5G23790
Q9FFA2	AT5G23780
Q9FFA5	AT5G23750
Q9FFA7	AT5G23730
Q9FFA9	AT5G22990
Q9FFB1	AT5G22970
Q9FFB6	AT5G22920
Q9FFC1	AT5G22870
Q9FFC2	AT5G22860
Q9FFC9	AT5G16550
Q9FFD5	AT5G16490
Q9FFD7	AT5G16480
Q9FFD8	AT5G16470
Q9FFD9	AT5G16460
Q9FFE2	AT5G16430
Q9FFE7	AT5G16360
Q9FFE8	AT5G16350
Q9FFF0	AT5G16330
Q9FFF1	AT5G16320
Q9FFF2	AT5G16310
Q9FFF3	AT5G16300
Q9FFF4	AT5G16290
Q9FFF6	AT5G05600
Q9FFF8	AT5G05570
Q9FFG2	AT5G05530
Q9FFG3	AT5G05520
Q9FFG4	AT5G05510
Q9FFG5	AT5G05500
Q9FFG6	AT5G05480
Q9FFG7	AT5G44250
Q9FFH1	AT5G44180
Q9FFH2	AT5G44170
Q9FFH5	AT5G44140
Q9FFH8	AT5G44100
Q9FFI3	AT5G17280
Q9FFI4	AT5G17270
Q9FFI5	AT5G17260
Q9FFI9	AT5G17200
Q9FFJ0	AT5G17190
Q9FFJ1	AT5G17180
Q9FFJ2	AT5G17170
Q9FFJ3	AT5G05850
Q9FFJ4	AT5G05840
Q9FFJ5	AT5G05830
Q9FFJ8	AT5G05800
Q9FFJ9	AT5G05790
Q9FFK2	AT5G05750
Q9FFK3	AT5G05740
Q9FFK5	AT5G05710
Q9FFK6	AT5G05680
Q9FFK7	AT5G05670
Q9FFK9	AT5G05650
Q9FFL0	AT5G05640
Q9FFL1	AT5G05630
Q9FFL4	AT5G35890
Q9FFL6	AT5G35870
Q9FFL9	AT5G35830
Q9FFM1	AT5G35810
Q9FFN7	AT5G63770
Q9FFP0	AT5G63740
Q9FFP2	AT5G63720
Q9FFP5	AT5G63690
Q9FFP6	AT5G63680
Q9FFQ0	AT5G63640
Q9FFQ4	AT5G63600
Q9FFQ5	AT5G63590
Q9FFQ7	AT5G63560
Q9FFQ8	AT5G63550
Q9FFR3	AT5G41670
Q9FFR5	AT5G41650
Q9FFS4	AT5G41560
Q9FFS5	AT5G41550
Q9FFS6	AT5G41540
Q9FFS7	AT5G41530
Q9FFT1	AT5G54990
Q9FFT3	AT5G54970
Q9FFT4	AT5G54960
Q9FFT5	AT5G54950
Q9FFT6	AT5G54940
Q9FFU2	AT5G54880
Q9FFU3	AT5G54870
Q9FFU5	AT5G54850
Q9FFU6	AT5G54830
Q9FFV1	AT5G54760
Q9FFV2	AT5G54750
Q9FFV7	AT5G38650
Q9FFV8	AT5G38640
Q9FFV9	AT5G38620
Q9FFW0	AT5G38610
Q9FFW3	AT5G38580
Q9FFW6	AT5G38550
Q9FFW7	AT5G38540
Q9FFW8	AT5G38530
Q9FFW9	AT5G38520
Q9FFX0	AT5G38510
Q9FFX5	AT5G14000
Q9FFX6	AT5G13990
Q9FFX8	AT5G13970
Q9FFY2	AT5G13920
Q9FFY4	AT5G13890
Q9FFZ0	AT5G13810
Q9FFZ1	AT5G13800
Q9FFZ3	AT5G06240
Q9FFZ4	AT5G06230
Q9FFZ6	AT5G06210
Q9FFZ8	AT5G06190
Q9FG01	AT5G06160
Q9FG04	AT5G06660
Q9FG05	AT5G06650
Q9FG06	AT5G06640
Q9FG09	AT5G06610
Q9FG14	AT5G06560
Q9FG18	AT5G06520
Q9FG20	AT5G06500
Q9FG22	AT5G06480
Q9FG25	AT5G06810
Q9FG28	AT5G06790
Q9FG29	AT5G06780
Q9FG31	AT5G06760
Q9FG35	AT5G06700
Q9FG37	AT5G06680
Q9FG41	AT5G37470
Q9FG42	AT5G37460
Q9FG44	AT5G37440
Q9FG45	AT5G37430
Q9FG46	AT5G37420
Q9FG47	AT5G37410
Q9FG48	AT5G37400
Q9FG51	AT5G37200
Q9FG54	AT5G54370
Q9FG58	AT5G36280
Q9FG62	AT5G36240
Q9FG64	AT5G36228
Q9FG70	AT5G55950
Q9FG73	AT5G55920
Q9FG74	AT5G55910
Q9FG75	AT5G55900
Q9FG81	AT5G43830
Q9FG86	AT5G43770
Q9FG89	AT5G43750
Q9FG94	AT5G43690
Q9FG96	AT5G50150
Q9FG97	AT5G50140
Q9FG99	AT5G50120
Q9FGA2	AT5G50090
Q9FGA4	AT5G50070
Q9FGA5	AT5G50060
Q9FGA6	AT5G50050
Q9FGA7	AT5G50040
Q9FGA8	AT5G50030
Q9FGB1	AT5G50000
Q9FGC1	AT5G35980
Q9FGC3	AT5G35960
Q9FGC4	AT5G35950
Q9FGC5	AT5G35940
Q9FGC6	AT5G67040
Q9FGC8	AT5G67020
Q9FGD4	AT5G66960
Q9FGD5	AT5G66950
Q9FGE1	AT5G23380
Q9FGE2	AT5G24480
Q9FGE4	AT5G24460
Q9FGE6	AT5G24440
Q9FGE9	AT5G64470
Q9FGF0	AT5G64460
Q9FGF1	AT5G64450
Q9FGF3	AT5G64430
Q9FGF4	AT5G64420
Q9FGF5	AT5G64780
Q9FGG1	AT5G64720
Q9FGG2	AT5G64710
Q9FGG3	AT5G64700
Q9FGG4	AT5G64690
Q9FGG5	AT5G41730
Q9FGG7	AT5G58540
Q9FGG8	AT5G58530
Q9FGH2	AT5G58500
Q9FGH3	AT5G58490
Q9FGH9	AT5G58430
Q9FGI2	AT5G37550
Q9FGI3	AT5G37540
Q9FGI9	AT5G47680
Q9FGJ1	AT5G47660
Q9FGJ8	AT5G47590
Q9FGJ9	AT5G47580
Q9FGK4	AT5G47530
Q9FGK8	AT5G47490
Q9FGK9	AT5G47480
Q9FGL0	AT5G47470
Q9FGL4	AT5G47440
Q9FGL5	AT5G49660
Q9FGL6	AT5G51920
Q9FGM6	AT5G53100
Q9FGN0	AT5G51430
Q9FGN5	AT5G51360
Q9FGN6	AT5G51350
Q9FGN7	AT5G51340
Q9FGP1	AT5G46200
Q9FGP2	AT5G50590
Q9FGP2	AT5G50690
Q9FGP3	AT5G50550
Q9FGP3	AT5G50650
Q9FGP4	AT5G50540
Q9FGP4	AT5G50645
Q9FGP5	AT5G50500
Q9FGP9	AT5G22790
Q9FGQ0	AT5G50830
Q9FGQ1	AT5G50820
Q9FGQ5	AT5G67280
Q9FGQ6	AT5G67270
Q9FGQ9	AT5G47060
Q9FGR1	AT5G52530
Q9FGS0	AT5G50250
Q9FGS4	AT5G50210
Q9FGS7	AT5G50180
Q9FGT1	AT5G58130
Q9FGT2	AT5G58120
Q9FGT3	AT5G58110
Q9FGT8	AT5G58070
Q9FGT9	AT5G58050
Q9FGU1	AT5G58030
Q9FGU3	AT5G59100
Q9FGU5	AT5G59080
Q9FGU9	AT5G59020
Q9FGV2	AT5G37010
Q9FGV4	AT5G47950
Q9FGV5	AT5G47940
Q9FGW2	AT5G48280
Q9FGW5	AT5G63370
Q9FGW7	AT5G63350
Q9FGW8	AT5G63340
Q9FGX3	AT5G49440
Q9FGX6	AT5G49410
Q9FGX9	AT5G49380
Q9FGY3	AT5G49620
Q9FGY5	AT5G49600
Q9FGY6	AT5G49590
Q9FGY8	AT5G49580
Q9FGZ0	AT5G49560
Q9FGZ3	AT5G49530
Q9FGZ5	AT5G49490
Q9FH00	AT5G42290
Q9FH14	AT5G56250
Q9FH17	AT5G56220
Q9FH19	AT5G56200
Q9FH20	AT5G49140
Q9FH21	AT5G49130
Q9FH22	AT5G49120
Q9FH24	AT5G49100
Q9FH32	AT5G54730
Q9FH33	AT5G54720
Q9FH40	AT5G45600
Q9FH44	AT5G45570
Q9FH46	AT5G61970
Q9FH51	AT5G61920
Q9FH55	AT5G66340
Q9FH56	AT5G66330
Q9FH59	AT5G66300
Q9FH60	AT5G66290
Q9FH62	AT5G66260
Q9FH63	AT5G66250
Q9FH64	AT5G66240
Q9FH65	AT5G66230
Q9FH67	AT5G42580
Q9FH77	AT5G45330
Q9FH78	AT5G45320
Q9FH82	AT5G45280
Q9FH86	AT5G65830
Q9FH91	AT5G67220
Q9FH92	AT5G67210
Q9FH97	AT5G67160
Q9FH98	AT5G67150
Q9FHA1	AT5G67120
Q9FHA4	AT5G67090
Q9FHA5	AT5G67080
Q9FHA6	AT5G67070
Q9FHB4	AT5G52480
Q9FHB6	AT5G52450
Q9FHB7	AT5G52430
Q9FHB8	AT5G52420
Q9FHC1	AT5G52390
Q9FHC2	AT5G52380
Q9FHC3	AT5G52370
Q9FHC7	AT5G52330
Q9FHC8	AT5G52320
Q9FHD1	AT5G52280
Q9FHD8	AT5G41250
Q9FHE2	AT5G45120
Q9FHE4	AT5G45100
Q9FHF0	AT5G45060
Q9FHF4	AT5G46510
Q9FHF5	AT5G46500
Q9FHF6	AT5G46490
Q9FHG0	AT5G46450
Q9FHG1	AT5G46440
Q9FHG3	AT5G46420
Q9FHG7	AT5G57760
Q9FHH0	AT5G57730
Q9FHH2	AT5G57710
Q9FHH5	AT5G57685
Q9FHI1	AT5G45550
Q9FHI2	AT5G45540
Q9FHI3	AT5G45530
Q9FHI4	AT5G45520
Q9FHI6	AT5G45500
Q9FHI8	AT5G45480
Q9FHI9	AT5G45470
Q9FHJ0	AT5G45460
Q9FHJ1	AT5G45450
Q9FHJ5	AT5G45410
Q9FHJ6	AT5G45400
Q9FHK5	AT5G05180
Q9FHK8	AT5G05150
Q9FHK9	AT5G05140
Q9FHL1	AT5G23470
Q9FHL2	AT5G23460
Q9FHL4	AT5G23440
Q9FHL8	AT5G23400
Q9FHL9	AT5G51650
Q9FHM0	AT5G51640
Q9FHM3	AT5G51610
Q9FHM5	AT5G51590
Q9FHM6	AT5G51580
Q9FHM8	AT5G51560
Q9FHM9	AT5G51550
Q9FHN1	AT5G51530
Q9FHN2	AT5G51520
Q9FHN3	AT5G51510
Q9FHN7	AT5G51470
Q9FHP0	AT5G65910
Q9FHP1	AT5G65890
Q9FHP2	AT5G65880
Q9FHP6	AT5G37740
Q9FHP8	AT5G37730
Q9FHQ5	AT5G37650
Q9FHQ8	AT5G37620
Q9FHR8	AT5G43280
Q9FHS0	AT5G43250
Q9FHS4	AT5G43210
Q9FHS5	AT5G43200
Q9FHS7	AT5G37380
Q9FHS8	AT5G37370
Q9FHT0	AT5G37350
Q9FHT3	AT5G37320
Q9FHT4	AT5G37310
Q9FHT6	AT5G37290
Q9FHT7	AT5G37280
Q9FHT8	AT5G37270
Q9FHU1	AT5G37230
Q9FHU3	AT5G37190
Q9FHW0	AT5G37070
Q9FHW2	AT5G37055
Q9FHX0	AT5G42150
Q9FHX1	AT5G42140
Q9FHX6	AT5G42090
Q9FHX8	AT5G42060
Q9FHY2	AT5G42010
Q9FHY3	AT5G42000
Q9FHY5	AT5G41980
Q9FHY7	AT5G41960
Q9FHY8	AT5G41950
Q9FHZ2	AT5G41910
Q9FHZ3	AT5G53830
Q9FHZ4	AT5G53820
Q9FHZ5	AT5G53810
Q9FHZ7	AT5G53790
Q9FHZ8	AT5G53780
Q9FI02	AT5G53740
Q9FI03	AT5G53730
Q9FI04	AT5G53720
Q9FI07	AT5G53690
Q9FI08	AT5G53680
Q9FI09	AT5G53670
Q9FI11	AT5G44540
Q9FI12	AT5G44530
Q9FI13	AT5G44520
Q9FI14	AT5G44510
Q9FI15	AT5G44500
Q9FI18	AT5G44470
Q9FI21	AT5G44440
Q9FI25	AT5G44410
Q9FI29	AT5G48090
Q9FI32	AT5G48060
Q9FI33	AT5G48050
Q9FI34	AT5G48040
Q9FI36	AT5G48020
Q9FI41	AT5G47970
Q9FI43	AT5G51050
Q9FI44	AT5G51040
Q9FI45	AT5G51030
Q9FI46	AT5G51020
Q9FI47	AT5G51010
Q9FI55	AT5G50930
Q9FI57	AT5G50910
Q9FI58	AT5G50900
Q9FI59	AT5G50890
Q9FI60	AT5G50880
Q9FI63	AT5G40470
Q9FI65	AT5G49050
Q9FI66	AT5G49040
Q9FI73	AT5G48970
Q9FI76	AT5G48950
Q9FI79	AT5G48920
Q9FI82	AT5G06040
Q9FI83	AT5G06030
Q9FI84	AT5G06020
Q9FI85	AT5G06010
Q9FI86	AT5G06000
Q9FI87	AT5G05990
Q9FI91	AT5G05950
Q9FI95	AT5G05910
Q9FIA5	AT5G55010
Q9FIB0	AT5G09970
Q9FIB3	AT5G09940
Q9FIB6	AT5G09900
Q9FIC2	AT5G09840
Q9FIC3	AT5G09830
Q9FID1	AT5G39090
Q9FID2	AT5G39080
Q9FID7	AT5G39010
Q9FIE4	AT5G57370
Q9FIE8	AT5G59290
Q9FIF4	AT5G59230
Q9FIG0	AT5G59140
Q9FIG2	AT5G59120
Q9FIG3	AT5G59110
Q9FIG6	AT5G42510
Q9FIG7	AT5G42500
Q9FIG8	AT5G42490
Q9FIH3	AT5G42440
Q9FIH5	AT5G42420
Q9FIH6	AT5G42410
Q9FIH8	AT5G42390
Q9FII0	AT5G42370
Q9FII6	AT5G61470
Q9FII7	AT5G61460
Q9FII8	AT5G61450
Q9FII9	AT5G47920
Q9FIJ4	AT5G47870
Q9FIJ5	AT5G47860
Q9FIK2	AT5G47790
Q9FIK6	AT5G47730
Q9FIK8	AT5G47710
Q9FIL1	AT5G59010
Q9FIL3	AT5G58990
Q9FIL5	AT5G58960
Q9FIL6	AT5G58950
Q9FIL7	AT5G58940
Q9FIL8	AT5G58930
Q9FIL9	AT5G58900
Q9FIM0	AT5G58890
Q9FIM1	AT5G58880
Q9FIM4	AT5G58850
Q9FIM5	AT5G58840
Q9FIM9	AT5G24430
Q9FIN3	AT5G24390
Q9FIN5	AT5G24370
Q9FIN7	AT5G24350
Q9FIN8	AT5G24340
Q9FIP0	AT5G24190
Q9FIP1	AT5G24180
Q9FIP3	AT5G46820
Q9FIP4	AT5G46810
Q9FIP7	AT5G46780
Q9FIP8	AT5G46770
Q9FIQ3	AT5G46720
Q9FIQ4	AT5G46710
Q9FIQ5	AT5G46700
Q9FIQ8	AT5G46670
Q9FIQ9	AT5G46660
Q9FIR1	AT5G46640
Q9FIR7	AT5G24680
Q9FIR9	AT5G24660
Q9FIS0	AT5G62170
Q9FIS1	AT5G62165
Q9FIS3	AT5G62150
Q9FIS4	AT5G62140
Q9FIT1	AT5G62070
Q9FIU1	AT5G54630
Q9FIU5	AT5G54590
Q9FIU6	AT5G54580
Q9FIU8	AT5G54560
Q9FIU9	AT5G54550
Q9FIV0	AT5G54540
Q9FIV5	AT5G36960
Q9FIW1	AT5G36920
Q9FIW6	AT5G39810
Q9FIW8	AT5G39785
Q9FIW9	AT5G39760
Q9FIX0	AT5G39750
Q9FIX1	AT5G39730
Q9FIX7	AT5G43630
Q9FIX8	AT5G43620
Q9FIY1	AT5G43590
Q9FIY5	AT5G43550
Q9FIY6	AT5G43540
Q9FIY8	AT5G43520
Q9FIY9	AT5G44830
Q9FIZ1	AT5G44760
Q9FIZ5	AT5G44680
Q9FJ06	AT5G49340
Q9FJ07	AT5G49330
Q9FJ08	AT5G49320
Q9FJ09	AT5G49310
Q9FJ12	AT5G49280
Q9FJ14	AT5G49260
Q9FJ15	AT5G49250
Q9FJ24	AT5G41900
Q9FJ27	AT5G41870
Q9FJ28	AT5G41860
Q9FJ29	AT5G41850
Q9FJ31	AT5G41830
Q9FJ32	AT5G41820
Q9FJ33	AT5G41810
Q9FJ36	AT5G41780
